"","V1"
"Doc01.txt",2
"Doc02.txt",2
"Doc03.txt",2
"Doc04.txt",2
"Doc05.txt",4
"Doc06.txt",2
"Doc07.txt",4
"Doc08.txt",2
"Doc09.txt",2
"Doc10.txt",2
"Doc11.txt",1
"Doc12.txt",1
"Doc13.txt",1
"Doc14.txt",1
"Doc15.txt",1
"Doc16.txt",1
"Doc17.txt",1
"Doc18.txt",2
"Doc19.txt",3
"Doc20.txt",3
"Doc21.txt",3
"Doc22.txt",3
"Doc23.txt",4
"Doc24.txt",2
"Doc25.txt",4
"Doc26.txt",4
"Doc27.txt",4
"Doc28.txt",4
"Doc29.txt",4
"Doc30.txt",1
"Doc31.txt",4
"Doc32.txt",4
"Doc33.txt",2
"Doc34.txt",2
"Doc35.txt",3
"Doc36.txt",3
"Doc37.txt",3
"Doc38.txt",3
"Doc39.txt",3
"Doc40.txt",3
"Doc41.txt",3
